Search keyword report,,,,,,,,,,,
"August 13, 2026 - August 31, 2026",,,,,,,,,,,
Keyword status,Keyword,Match type,Campaign,Ad group,Status,Status reasons,Impr.,Clicks,Currency code,Cost,Conversions
Enabled,"""เงิน สินเชื่อ""",Phrase match,2400 | TTM Constructors | Search | Lead form,Ad group 1,Not eligible,campaign ended,53,6,THB,241.04,1
Enabled,"""ทำ ขายฝาก""",Phrase match,2400 | TTM Constructors | Search | Lead form,Ad group 1,Not eligible,campaign ended,0,0,THB,0,0
Enabled,"""รับซื้อทอง""",Phrase match,2400 | TTM Constructors | Search | Lead form,Ad group 1,Not eligible,campaign ended,203,6,THB,131.17,0
Enabled,"""จํา นํา ทอง วัน นี้""",Phrase match,2400 | TTM Constructors | Search | Lead form,Ad group 1,Not eligible,campaign ended,8,2,THB,29.74,0
Enabled,"""กู้ เงิน สินเชื่อ""",Phrase match,2400 | TTM Constructors | Search | Lead form,Ad group 1,Not eligible,campaign ended,7,1,THB,92.33,0
Enabled,"""กู้""",Phrase match,2400 | TTM Constructors | Search | Lead form,Ad group 1,Not eligible,campaign ended,23,3,THB,128.93,0
Enabled,รัานทอง,Broad match,2400 | TTM Constructors | Search | Lead form,Ad group 1,Not eligible,rarely served; campaign ended,0,0,THB,0,0
Enabled,"""โรง รับ จํา นํา ใกล้ ฉัน""",Phrase match,2400 | TTM Constructors | Search | Lead form,Ad group 1,Not eligible,low quality; campaign ended,39,1,THB,35.35,0
Enabled,"""จำนำทอง aurora""",Phrase match,2400 | TTM Constructors | Search | Lead form,Ad group 1,Not eligible,campaign ended,0,0,THB,0,0
Enabled,"""สินเชื่อ เงินกู้""",Phrase match,2400 | TTM Constructors | Search | Lead form,Ad group 1,Not eligible,campaign ended,165,11,THB,412.03,3
Enabled,"""ซื้อขายทองคำ""",Phrase match,2400 | TTM Constructors | Search | Lead form,Ad group 1,Not eligible,campaign ended,42,3,THB,47.13,0
Enabled,"""ออโรร่า ขายฝากทอง""",Phrase match,2400 | TTM Constructors | Search | Lead form,Ad group 1,Not eligible,campaign ended,0,0,THB,0,0
Enabled,ร้าน จำนำ,Broad match,2400 | TTM Constructors | Search | Lead form,Ad group 1,Not eligible,low quality; campaign ended,44,4,THB,119.36,0
Enabled,"""ขายฝากทอง aurora""",Phrase match,2400 | TTM Constructors | Search | Lead form,Ad group 1,Not eligible,low quality; campaign ended,1,0,THB,0,0
Enabled,"""โรง รับ จํา นํา ของ รัฐ ใกล้ ฉัน""",Phrase match,2400 | TTM Constructors | Search | Lead form,Ad group 1,Not eligible,campaign ended,0,0,THB,0,0
Enabled,จำนำ ขายฝาก,Broad match,2400 | TTM Constructors | Search | Lead form,Ad group 1,Not eligible,campaign ended,2,0,THB,0,0
Enabled,"""ร้าน รับ จำนำ""",Phrase match,2400 | TTM Constructors | Search | Lead form,Ad group 1,Not eligible,campaign ended,2,0,THB,0,0
Enabled,ราคาทองคำรับซื้อ,Broad match,2400 | TTM Constructors | Search | Lead form,Ad group 1,Not eligible,campaign ended,3,0,THB,0,0
Enabled,สินเชื่อทอง,Broad match,2400 | TTM Constructors | Search | Lead form,Ad group 1,Not eligible,campaign ended,0,0,THB,0,0
Enabled,ตั๋ว จํา นํา ร้าน ทอง,Broad match,2400 | TTM Constructors | Search | Lead form,Ad group 1,Not eligible,campaign ended,21,0,THB,0,0
Enabled,"""สินเชื่อ""",Phrase match,2400 | TTM Constructors | Search | Lead form,Ad group 1,Not eligible,campaign ended,251,23,THB,1094.89,2
Enabled,"""อีซี่มันนี่""",Phrase match,2400 | TTM Constructors | Search | Lead form,Ad group 1,Not eligible,low quality; campaign ended,1,0,THB,0,0
Enabled,"""ขายทอง""",Phrase match,2400 | TTM Constructors | Search | Lead form,Ad group 1,Not eligible,low quality; campaign ended,105,5,THB,89.55,0
Enabled,"""ราคา ทอง วัน นี้""",Phrase match,2400 | TTM Constructors | Search | Lead form,Ad group 1,Not eligible,campaign ended,209,19,THB,308.9,0
Enabled,"""อี ซี่ มัน นี""",Phrase match,2400 | TTM Constructors | Search | Lead form,Ad group 1,Not eligible,campaign ended,1,0,THB,0,0
Enabled,"""ขายฝาก""",Phrase match,2400 | TTM Constructors | Search | Lead form,Ad group 1,Not eligible,campaign ended,23,0,THB,0,0
Enabled,"""easy money ใกล้ ฉัน""",Phrase match,2400 | TTM Constructors | Search | Lead form,Ad group 1,Not eligible,campaign ended,0,0,THB,0,0
Enabled,"""จํานําทอง""",Phrase match,2400 | TTM Constructors | Search | Lead form,Ad group 1,Not eligible,campaign ended,9,2,THB,28.22,0
Enabled,"""โรง จํา นํา ใกล้ ฉัน""",Phrase match,2400 | TTM Constructors | Search | Lead form,Ad group 1,Not eligible,campaign ended,3,0,THB,0,0
Enabled,"""สินเชื่อ เงินก้อน""",Phrase match,2400 | TTM Constructors | Search | Lead form,Ad group 1,Not eligible,campaign ended,0,0,THB,0,0
Enabled,"""เงินด่วน""",Phrase match,2400 | TTM Constructors | Search | Lead form,Ad group 1,Not eligible,campaign ended,76,8,THB,335.68,0
Enabled,รับ จำนำ,Broad match,2400 | TTM Constructors | Search | Lead form,Ad group 1,Not eligible,low quality; campaign ended,68,2,THB,68.63,0
Enabled,"""โรง รับ จํา นํา รัฐบาล ใกล้ ฉัน""",Phrase match,2400 | TTM Constructors | Search | Lead form,Ad group 1,Not eligible,campaign ended,0,0,THB,0,0
Enabled,กู้เงิน,Broad match,2400 | TTM Constructors | Search | Lead form,Ad group 1,Not eligible,low quality; campaign ended,150,12,THB,396.19,1
Enabled,"""จำนำ""",Phrase match,2400 | TTM Constructors | Search | Lead form,Ad group 1,Not eligible,low quality; campaign ended,797,38,THB,956.52,1
Enabled,"""ราคา ทอง คํา วัน นี้""",Phrase match,2400 | TTM Constructors | Search | Lead form,Ad group 1,Not eligible,campaign ended,10,1,THB,5.7,0
Enabled,ดอกเบี้ย โรง จำนำ,Broad match,2400 | TTM Constructors | Search | Lead form,Ad group 1,Not eligible,campaign ended,3,0,THB,0,0
Enabled,โรง รับ จํา นํา,Broad match,2400 | TTM Constructors | Search | Lead form,Ad group 1,Not eligible,campaign ended,85,1,THB,24.15,0
Enabled,"""ราคา ทอง""",Phrase match,2400 | TTM Constructors | Search | Lead form,Ad group 1,Not eligible,campaign ended,330,7,THB,105.12,0
Enabled,โรงรับจำนำ,Broad match,2400 | TTM Constructors | Search | Lead form,Ad group 1,Not eligible,low quality; campaign ended,29,0,THB,0,0
Enabled,จำนอง ขายฝาก,Broad match,2400 | TTM Constructors | Search | Lead form,Ad group 1,Not eligible,campaign ended,11,0,THB,0,0
Enabled,"""ทองมาเงินไป""",Phrase match,2400 | TTM Constructors | Search | Lead form,Ad group 1,Not eligible,campaign ended,42,1,THB,8.04,0
Enabled,ขายฝากทอง,Broad match,2400 | TTM Constructors | Search | Lead form,Ad group 1,Not eligible,campaign ended,85,3,THB,73.3,0
Enabled,"""สินเชื่อ กู้ เงิน""",Phrase match,2400 | TTM Constructors | Search | Lead form,Ad group 1,Not eligible,campaign ended,65,3,THB,106.49,0
Enabled,โรงรับจำนำ ใกล้ ฉัน,Broad match,2400 | TTM Constructors | Search | Lead form,Ad group 1,Not eligible,low quality; campaign ended,16,0,THB,0,0
Enabled,ขายฝาก จำนอง,Broad match,2400 | TTM Constructors | Search | Lead form,Ad group 1,Not eligible,campaign ended,0,0,THB,0,0
Enabled,"""Easy monney""",Phrase match,2400 | TTM Constructors | Search | Lead form,Ad group 1,Not eligible,rarely served; campaign ended,0,0,THB,0,0
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
